"","An. maculipennis","An. claviger","Cx. pipiens","Cs. annulata","Corixidae","Coleoptera larvae","Coleoptera","Zygoptera larvae","Anisoptera larvae","Ilyocoris","Nepa cinerea","Gammaridae"
"Structural",0.242143146031555,0.813974700701167,0.101369984064424,0.172899099609341,0.181407787777405,0.297398684891412,0.232655613669867,0.388309065510019,0.318514316211346,0.311044579150616,0.48357366070212,0.344256381321001
"Physiochemical",0.402073307573313,0.0811703998572633,0.116682248728302,0.0713412016996527,0.177680359900901,0.106732359356792,0.0853373347056789,0.0532951341267797,0.197286760692041,0.371358337857483,0.239938119933142,0.132709678044122
"Random: plot_id",0.0777954662900634,0.0560141626538481,0.735911384228709,0.7300219785528,0.187573528673611,0.300064544727746,0.367153446559736,0.327404563033288,0.240270309218321,0.0785526100466443,0.0869509821349626,0.425270681019111
"Random: season",0.22462042302341,0.0215188386015993,0.0358183807260865,0.0189590945774027,0.0176115625518507,0.0428061857556957,0.0638547327013837,0.0679343473545685,0.106215367192793,0.0717622687061939,0.0951919932059453,0.0428249149178736
"Random: year",0.0533676570816574,0.0273218981861226,0.0102180022524784,0.00677862556080368,0.435726761096233,0.252998225268355,0.250998872363334,0.163056889975344,0.137713246685499,0.167282204239064,0.0943452440238271,0.0549383446978929
"TjurR2",0.106236924392128,0.260775060886061,0.284674622284197,0.454005057356722,0.332931150045645,0.157403568678247,0.253231364891514,0.402404511655213,0.117238997826214,0.0602055242599042,0.0436639790266561,0.149232661937715
