"","RMSE","AUC","TjurR2"
"1",0.319763373086372,0.784568885903786,0.106236924392128
"2",0.267093817244475,0.901017214397496,0.260775060886061
"3",0.240463101414113,0.933485243055556,0.284674622284197
"4",0.221603822884191,0.969910714285714,0.454005057356722
"5",0.350236314044412,0.896690879741727,0.332931150045645
"6",0.36168906987052,0.814953738434609,0.157403568678247
"7",0.37744874555073,0.84675014907573,0.253231364891514
"8",0.32502520997804,0.915967668140918,0.402404511655213
"9",0.207093536638274,0.856144437973209,0.117238997826214
"10",0.168681369421224,0.88258064516129,0.0602055242599042
"11",0.169502377392183,0.829677419354839,0.0436639790266561
"12",0.239178940791942,0.891047297297297,0.149232661937715
