NameProvided,VariableName,CleanName,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S
Agrostis stolonifera,Distal_cover_Bentgrass _[%],Bentgrass ,7,6,6,5,0
Agrostis stolonifera,Distal_height_Bentgrass _[cm],Bentgrass ,7,6,6,5,0
Calystegia sepium,Proximal_cover_Bind weed_[%],Bind weed,7,6,7,7,0
Calystegia sepium,Proximal_height_Bind weed_[cm],Bind weed,7,6,7,7,0
Calystegia sepium,Central_cover_Bind weed_[%],Bind weed,7,6,7,7,0
Calystegia sepium,Central_height_Bind weed_[cm],Bind weed,7,6,7,7,0
Calystegia sepium,Distal_cover_Bind weed_[%],Bind weed,7,6,7,7,0
Calystegia sepium,Distal_height_Bind weed_[cm],Bind weed,7,6,7,7,0
Sparganium erectum,Proximal_cover_Branched bur-reed_[%],Branched burreed,7,10,7,7,0
Sparganium erectum,Proximal_height_Branched bur-reed_[cm],Branched burreed,7,10,7,7,0
Sparganium erectum,Central_cover_Branched bur-reed_[%],Branched burreed,7,10,7,7,0
Sparganium erectum,Central_height_Branched bur-reed_[cm],Branched burreed,7,10,7,7,0
Sparganium erectum,Distal_cover_Branched bur-reed_[%],Branched burreed,7,10,7,7,0
Sparganium erectum,Distal_height_Branched bur-reed_[cm],Branched burreed,7,10,7,7,0
Lycopus europaeus,Proximal_cover_Bugleweed_[%],Bugleweed,6,8,7,6,0
Lycopus europaeus,Proximal_height_Bugleweed_[cm],Bugleweed,6,8,7,6,0
Lycopus europaeus,Central_cover_Bugleweed_[%],Bugleweed,6,8,7,6,0
Lycopus europaeus,Central_height_Bugleweed_[cm],Bugleweed,6,8,7,6,0
Lycopus europaeus,Distal_cover_Bugleweed_[%],Bugleweed,6,8,7,6,0
Lycopus europaeus,Distal_height_Bugleweed_[cm],Bugleweed,6,8,7,6,0
Ranunculus sceleratus,Proximal_cover_Celery-leaved buttercup_[%],Celeryleaved buttercup,8,8,7,8,1
Ranunculus sceleratus,Proximal_height_Celery-leaved buttercup_[cm],Celeryleaved buttercup,8,8,7,8,1
Ranunculus sceleratus,Central_cover_Celery-leaved buttercup_[%],Celeryleaved buttercup,8,8,7,8,1
Ranunculus sceleratus,Central_height_Celery-leaved buttercup_[cm],Celeryleaved buttercup,8,8,7,8,1
Ranunculus sceleratus,Distal_cover_Celery-leaved buttercup_[%],Celeryleaved buttercup,8,8,7,8,1
Ranunculus sceleratus,Distal_height_Celery-leaved buttercup_[cm],Celeryleaved buttercup,8,8,7,8,1
Symphytum officinale,Proximal_cover_Comfrey_[%],Comfrey,7,7,7,8,0
Symphytum officinale,Proximal_height_Comfrey_[cm],Comfrey,7,7,7,8,0
Symphytum officinale,Central_cover_Comfrey_[%],Comfrey,7,7,7,8,0
