CleanName,URL
Amphibian bistort,https://www.brc.ac.uk/plantatlas/plant/persicaria-amphibia
Bentgrass,https://www.brc.ac.uk/plantatlas/plant/agrostis-stolonifera
Bind weed,https://www.brc.ac.uk/plantatlas/plant/calystegia-pulchra
Bind weed,https://www.brc.ac.uk/plantatlas/plant/calystegia-sepium
Bind weed,https://www.brc.ac.uk/plantatlas/plant/calystegia-silvatica
Bind weed,https://www.brc.ac.uk/plantatlas/plant/calystegia-soldanella
Bind weed,https://www.brc.ac.uk/plantatlas/plant/convolvulus-arvensis
Bind weed,https://www.brc.ac.uk/plantatlas/plant/fallopia-convolvulus
Bind weed,https://www.brc.ac.uk/plantatlas/plant/fallopia-dumetorum
Bugleweed ,https://www.brc.ac.uk/plantatlas/plant/ajuga-reptans
Comfrey,https://www.brc.ac.uk/plantatlas/plant/symphytum-hidcote-blue-s-asperum-x-grandiflorum-x-officinale
Comfrey,https://www.brc.ac.uk/plantatlas/plant/symphytum-asperum
Comfrey,https://www.brc.ac.uk/plantatlas/plant/symphytum-asperum-x-officinale-s-x-uplandicum
Comfrey,https://www.brc.ac.uk/plantatlas/plant/symphytum-officinale
Comfrey,https://www.brc.ac.uk/plantatlas/plant/symphytum-orientale
Comfrey,https://www.brc.ac.uk/plantatlas/plant/symphytum-tuberosum
Moneywort,https://www.brc.ac.uk/plantatlas/plant/sibthorpia-europaea
Nettle,https://www.brc.ac.uk/plantatlas/plant/urtica-dioica
Pulicaria dysenterica,https://www.brc.ac.uk/plantatlas/plant/pulicaria-dysenterica
Purple loosestrife,https://www.brc.ac.uk/plantatlas/plant/lythrum-salicaria
Reed canary grass,https://www.brc.ac.uk/plantatlas/plant/phalaris-arundinacea
Water chickweed,https://www.brc.ac.uk/plantatlas/plant/stellaria-neglecta
Water dock,https://www.brc.ac.uk/plantatlas/plant/rumex-hydrolapathum
Fools water cress,https://www.brc.ac.uk/plantatlas/plant/apium-nodiflorum
Water mint,https://www.brc.ac.uk/plantatlas/plant/mentha-aquatica
Water parsnip,https://www.brc.ac.uk/plantatlas/plant/sium-latifolium
Water plantain,https://www.brc.ac.uk/plantatlas/plant/alisma-plantago-aquatica
Woody night shade,https://www.brc.ac.uk/plantatlas/plant/epilobium-hirsutum
Heart  shaped floating proximal,
Heart  shaped floating,
Brooklime,https://www.brc.ac.uk/plantatlas/plant/veronica-beccabunga
Marsh Marigold,https://www.brc.ac.uk/plantatlas/plant/caltha-palustris
Unidentified umbellifera,
