NameProvided,CleanName,Coalesced1,Coalesced1Accepted,ReturnedNameProvided,ReturnedClean,Coalesced2,Coalesced2Accepted,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S
Sagittaria,Arrow head,Arrow head,NA,NA,NA,Sagittaria,Sagittaria,NA,NA,NA,NA,NA
Schoenoplectus tabernaemontani,Softstem bulrush,Softstem bulrush,NA,NA,NA,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,NA,NA,NA,NA,NA
Senecio aquaticus,Marsh ragwort,Marsh ragwort,NA,NA,NA,Senecio aquaticus,,NA,NA,NA,NA,NA
Solanum dulcamara,Woody night shade,Woody night shade,NA,NA,NA,Solanum dulcamara,Solanum dulcamara,NA,NA,NA,NA,NA
Sparganium erectum,Branched burreed,Branched burreed,NA,NA,NA,Sparganium erectum,Sparganium erectum,NA,NA,NA,NA,NA
Stellaria palustris,Marsh Stitchwort,Marsh Stitchwort,NA,NA,NA,Stellaria palustris,Stellaria palustris,NA,NA,NA,NA,NA
Symphytum officinale,Comfrey,Comfrey,NA,NA,NA,Symphytum officinale,Symphytum officinale,NA,NA,NA,NA,NA
Two-ranked sedge,Carex disticha,Carex disticha,Carex disticha,NA,NA,Two-ranked sedge,NA,NA,NA,NA,NA,NA
Typha latifolia,Typha,Typha,Typha,NA,NA,Typha latifolia,Typha latifolia,NA,NA,NA,NA,NA
Unidentified umbellifera,Unidentified umbellifera,Unidentified umbellifera,NA,NA,NA,Unidentified umbellifera,NA,NA,NA,NA,NA,NA
Urtica dioica,Nettle,Nettle,NA,NA,NA,Urtica dioica,Urtica dioica,NA,NA,NA,NA,NA
Utricularia,Bladderwort,Utricularia caerulea,Utricularia caerulea,NA,Utricularia caerulea,Utricularia,Utricularia,NA,NA,NA,NA,NA
Veronica beccabunga,Brooklime,Brooklime,NA,NA,NA,Veronica beccabunga,Veronica beccabunga,NA,NA,NA,NA,NA
Veronica catenata,Pink water speedwell,Pink water speedwell,NA,NA,NA,Veronica catenata,Veronica anagallis-aquatica,NA,NA,NA,NA,NA
Water fern,Azolla,Azolla,Azolla,NA,NA,Water fern,NA,NA,NA,NA,NA,NA
Water mannagrass,Glyceria fluitans,Glyceria fluitans,Glyceria fluitans,Glyceria fluitans,NA,Glyceria fluitans,Glyceria fluitans,6,10,5,6,0
Water weed,Elodea,Elodea,Elodea,NA,NA,Water weed,NA,NA,NA,NA,NA,NA
NA,Bare mud,Bare mud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Bramble,Rubus,Rubus,NA,Rubus,NA,NA,NA,NA,NA,NA,NA
NA,Buttercup,Buttercup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Carex,Carex,Carex,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Carex large glaucous,Carex large glaucous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Clover,Clover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Glyceria,Glyceria,Glyceria,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Grass,Grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heart  shaped floating,Heart  shaped floating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Heart  shaped floating proximal,Heart  shaped floating proximal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Juncus,Juncus,Juncus,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Phragmites,Phragmites,Phragmites,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Teasel,Teasel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Thistle,Thistle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Water dropwort  filamentous leaves,Water dropwort  filamentous leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
